"1","2","3"
"1",69883,21371,25598
"2",63580,18252,23702
"3",71732,20588,28013
"4",68006,20104,27483
"5",70227,21107,30928
"6",67403,20475,30173
"7",69496,21448,30371
"8",72354,22137,28668
"9",69327,20886,28057
"10",70463,21203,27492
"11",64536,19073,24245
"12",59434,16916,23120
