281,14,309,1038,182,627,211,137
240,14,225,774,146,558,244,122
299,21,276,911,193,672,273,161
294,14,277,843,178,717,267,153
298,20,240,966,176,620,259,139
297,17,264,867,200,672,268,161
321,22,287,900,207,681,268,170
350,27,267,924,181,638,240,124
233,24,282,816,185,556,237,144
245,20,276,859,170,745,302,196
268,15,316,909,262,712,234,135
246,8,232,831,199,627,232,155
258,10,300,915,239,638,247,154
205,13,247,842,202,507,169,103
209,15,246,829,182,514,149,100
279,13,305,890,213,544,247,125
279,9,292,971,265,557,199,148
268,10,302,761,235,575,160,115
244,12,312,943,267,564,170,131
287,12,343,882,211,550,187,123
262,7,297,824,219,579,183,128
255,8,335,895,218,563,166,123
185,8,257,712,202,457,185,126
159,5,290,768,248,457,157,154
233,6,298,890,238,576,197,152
205,8,252,676,187,423,199,134
198,10,316,712,196,505,235,134
196,7,264,797,182,504,206,133
226,10,321,814,189,571,179,92
233,17,307,801,208,534,186,111
226,15,322,825,179,641,187,133
238,12,312,895,209,590,199,110
184,2,301,899,209,598,188,135
222,12,330,884,234,626,202,144
192,12,317,703,193,544,168,120
187,19,311,744,205,480,158,104
201,8,291,768,171,563,192,129
176,14,248,616,190,542,188,140
223,11,296,789,141,579,228,174
198,9,304,817,264,621,192,153
210,9,243,753,216,739,237,140
230,5,238,794,223,605,213,131
213,15,293,896,261,597,251,159
206,8,300,942,214,684,197,167
231,10,269,817,219,706,220,145
220,8,314,856,226,616,186,105
184,9,309,738,213,616,183,124
184,6,263,695,179,463,146,94
207,8,268,652,289,569,163,133
200,8,267,692,230,558,166,96
192,11,285,739,215,549,219,120
208,8,284,753,198,536,184,142
204,14,287,720,195,573,213,111
211,4,297,720,198,579,210,122
225,15,276,710,186,542,194,145
194,7,261,789,178,562,190,130
232,9,308,774,193,508,203,101
183,14,323,770,205,517,188,123
220,6,278,675,170,491,170,108
145,7,269,566,155,427,138,82
193,3,316,676,253,618,176,117
145,5,252,606,190,529,132,80
206,3,330,791,272,604,165,91
166,4,272,759,282,531,169,103
227,11,331,766,245,515,173,120
220,6,269,843,251,486,150,107
191,3,270,780,217,497,207,138
210,5,322,878,319,624,168,117
197,5,299,767,213,526,148,86
172,5,308,722,258,634,201,124
155,7,297,693,255,649,174,98
123,9,214,568,175,512,147,104
152,11,222,700,202,612,175,93
104,3,196,586,221,485,169,98
139,6,215,661,245,545,179,104
144,4,259,589,227,526,188,116
158,5,305,734,297,540,186,123
156,8,314,660,287,544,189,126
207,7,280,684,234,550,188,114
204,6,280,697,273,570,163,147
174,9,256,655,231,610,222,137
144,3,260,715,229,586,223,124
125,7,232,637,169,453,165,114
116,8,208,502,164,408,155,101
93,10,237,544,234,465,174,117
85,9,220,521,207,410,131,102
89,6,211,552,185,496,171,114
85,10,263,548,217,506,147,118
83,6,238,613,189,491,190,124
89,6,232,554,189,402,180,104
124,1,249,643,168,486,217,100
130,6,272,676,228,551,186,109
117,3,285,617,207,481,156,124
140,3,283,638,216,513,175,115
79,4,205,478,185,484,162,110
78,9,201,400,152,408,133,77
77,2,220,448,176,496,178,137
81,3,186,393,159,429,154,112
137,3,229,536,197,487,172,125
113,4,261,494,141,420,136,106
123,4,202,527,199,492,190,119
113,2,195,511,143,551,175,116
139,5,216,493,170,456,201,131
120,2,191,487,147,535,230,142
124,2,225,496,126,460,180,106
108,2,215,553,183,467,161,95
105,7,209,485,162,451,163,112
80,3,166,399,135,378,147,91
102,4,194,511,172,433,150,113
93,2,134,362,113,347,136,71
113,5,165,431,128,418,162,90
92,7,172,425,136,371,149,92
95,6,197,374,111,380,177,113
96,5,197,365,148,369,168,96
105,5,189,354,113,330,139,113
109,6,203,421,128,368,131,88
118,10,163,469,148,403,147,114
115,9,167,372,131,360,140,99
71,2,160,348,151,333,107,67
80,5,172,336,155,232,85,49
94,3,204,416,144,352,93,83
84,6,150,333,124,265,73,61
82,7,170,408,106,325,110,78
83,1,140,321,111,363,112,84
95,2,172,389,143,386,132,76
88,2,177,391,131,359,137,91
87,7,169,447,145,401,153,97
65,5,166,461,135,512,201,101
104,1,155,520,126,440,159,99
131,4,193,537,139,462,193,115
102,4,147,466,121,394,148,106
88,8,145,449,121,398,141,93
